year,ethnicity,age_group,count,median_age
2011.0,混血兒,Unnamed: 9,1397.0,21.0
2011.0,混血兒,Unnamed: 10,29001.0,21.0
2011.0,Mixed,Unnamed: 3,37.3,
2011.0,Mixed,Unnamed: 4,17.3,
2011.0,Mixed,Unnamed: 5,14.4,
2011.0,Mixed,Unnamed: 6,11.5,
2011.0,Mixed,Unnamed: 7,10.0,
2011.0,Mixed,Unnamed: 8,4.8,
2011.0,Mixed,Unnamed: 9,4.8,
2011.0,Mixed,Unnamed: 10,100.0,
2011.0,華人父或母,Unnamed: 3,8429.0,22.9
2011.0,華人父或母,Unnamed: 4,4449.0,22.9
2011.0,華人父或母,Unnamed: 5,3544.0,22.9
2011.0,華人父或母,Unnamed: 6,2899.0,22.9
2011.0,華人父或母,Unnamed: 7,2688.0,22.9
2011.0,華人父或母,Unnamed: 8,1321.0,22.9
2011.0,華人父或母,Unnamed: 9,1319.0,22.9
2011.0,華人父或母,Unnamed: 10,24649.0,22.9
2011.0,With Chinese parent,Unnamed: 3,34.2,
2011.0,With Chinese parent,Unnamed: 4,18.0,
2011.0,With Chinese parent,Unnamed: 5,14.4,
2011.0,With Chinese parent,Unnamed: 6,11.8,
2011.0,With Chinese parent,Unnamed: 7,10.9,
2011.0,With Chinese parent,Unnamed: 8,5.4,
2011.0,With Chinese parent,Unnamed: 9,5.4,
2011.0,With Chinese parent,Unnamed: 10,100.0,
2011.0,其他混血兒,Unnamed: 3,2397.0,13.4
2011.0,其他混血兒,Unnamed: 4,558.0,13.4
2011.0,其他混血兒,Unnamed: 5,619.0,13.4
2011.0,其他混血兒,Unnamed: 6,431.0,13.4
2011.0,其他混血兒,Unnamed: 7,210.0,13.4
2011.0,其他混血兒,Unnamed: 8,59.0,13.4
2011.0,其他混血兒,Unnamed: 9,78.0,13.4
2011.0,其他混血兒,Unnamed: 10,4352.0,13.4
2011.0,Other mixed,Unnamed: 3,55.1,
2011.0,Other mixed,Unnamed: 4,12.8,
2011.0,Other mixed,Unnamed: 5,14.2,
2011.0,Other mixed,Unnamed: 6,9.9,
2011.0,Other mixed,Unnamed: 7,4.8,
2011.0,Other mixed,Unnamed: 8,1.4,
2011.0,Other mixed,Unnamed: 9,1.8,
2011.0,Other mixed,Unnamed: 10,100.0,
2011.0,其他[3],Unnamed: 3,215.0,34.9
2011.0,其他[3],Unnamed: 4,80.0,34.9
2011.0,其他[3],Unnamed: 5,380.0,34.9
2011.0,其他[3],Unnamed: 6,453.0,34.9
2011.0,其他[3],Unnamed: 7,158.0,34.9
2011.0,其他[3],Unnamed: 8,49.0,34.9
2011.0,其他[3],Unnamed: 9,,34.9
2011.0,其他[3],Unnamed: 10,1335.0,34.9
2011.0,Others[3],Unnamed: 3,16.1,
2011.0,Others[3],Unnamed: 4,6.0,
2011.0,Others[3],Unnamed: 5,28.5,
2011.0,Others[3],Unnamed: 6,33.9,
2011.0,Others[3],Unnamed: 7,11.8,
2011.0,Others[3],Unnamed: 8,3.7,
2011.0,Others[3],Unnamed: 9,,
2011.0,Others[3],Unnamed: 10,100.0,
2011.0,撇除外籍家庭傭工後的所有少數族裔人士,Unnamed: 3,44320.0,34.7
2011.0,撇除外籍家庭傭工後的所有少數族裔人士,Unnamed: 4,19536.0,34.7
2011.0,撇除外籍家庭傭工後的所有少數族裔人士,Unnamed: 5,35835.0,34.7
2011.0,撇除外籍家庭傭工後的所有少數族裔人士,Unnamed: 6,43393.0,34.7
2011.0,撇除外籍家庭傭工後的所有少數族裔人士,Unnamed: 7,28907.0,34.7
2011.0,撇除外籍家庭傭工後的所有少數族裔人士,Unnamed: 8,15333.0,34.7
2011.0,撇除外籍家庭傭工後的所有少數族裔人士,Unnamed: 9,9698.0,34.7
2011.0,撇除外籍家庭傭工後的所有少數族裔人士,Unnamed: 10,197022.0,34.7
2011.0,"All ethnic minorities, excluding foreign domestic helpers",Unnamed: 3,22.5,
2011.0,"All ethnic minorities, excluding foreign domestic helpers",Unnamed: 4,9.9,
2011.0,"All ethnic minorities, excluding foreign domestic helpers",Unnamed: 5,18.2,
2011.0,"All ethnic minorities, excluding foreign domestic helpers",Unnamed: 6,22.0,
2011.0,"All ethnic minorities, excluding foreign domestic helpers",Unnamed: 7,14.7,
2011.0,"All ethnic minorities, excluding foreign domestic helpers",Unnamed: 8,7.8,
2011.0,"All ethnic minorities, excluding foreign domestic helpers",Unnamed: 9,4.9,
2011.0,"All ethnic minorities, excluding foreign domestic helpers",Unnamed: 10,100.0,
2011.0,全港人口,Unnamed: 3,823560.0,41.7
2011.0,全港人口,Unnamed: 4,875234.0,41.7
2011.0,全港人口,Unnamed: 5,1084120.0,41.7
2011.0,全港人口,Unnamed: 6,1135285.0,41.7
2011.0,全港人口,Unnamed: 7,1289430.0,41.7
2011.0,全港人口,Unnamed: 8,922635.0,41.7
2011.0,全港人口,Unnamed: 9,941312.0,41.7
2011.0,全港人口,Unnamed: 10,7071576.0,41.7
2011.0,Whole population,Unnamed: 3,11.6,
2011.0,Whole population,Unnamed: 4,12.4,
2011.0,Whole population,Unnamed: 5,15.3,
2011.0,Whole population,Unnamed: 6,16.1,
2011.0,Whole population,Unnamed: 7,18.2,
2011.0,Whole population,Unnamed: 8,13.0,
2011.0,Whole population,Unnamed: 9,13.3,
2011.0,Whole population,Unnamed: 10,100.0,
