age_group,gender,education_level,count
45-49 years old,Female,Preschool education,1788
45-49 years old,Female,Elementary School,843138
45-49 years old,Female,Junior high school,1867925
45-49 years old,Female,High School,524046
45-49 years old,Female,College (Associate's Degree),288362
45-49 years old,Female,University undergraduate,220272
45-49 years old,Female,Master's,18159
45-49 years old,Female,Doctorate,3784
50-54 years old,Female,Total,3090139
50-54 years old,Female,never attended school,84118
50-54 years old,Female,Preschool education,2865
50-54 years old,Female,Elementary School,1056689
50-54 years old,Female,Junior high school,1427547
50-54 years old,Female,High School,254009
50-54 years old,Female,College (Associate's Degree),135151
50-54 years old,Female,University undergraduate,118991
50-54 years old,Female,Master's,8977
50-54 years old,Female,Doctorate,1792
55-59 years old,Female,Total,1849421
55-59 years old,Female,never attended school,82269
55-59 years old,Female,Preschool education,2854
55-59 years old,Female,Elementary School,780430
55-59 years old,Female,Junior high school,782840
55-59 years old,Female,High School,139187
55-59 years old,Female,College (Associate's Degree),31024
55-59 years old,Female,University undergraduate,26839
55-59 years old,Female,Master's,3114
55-59 years old,Female,Doctorate,864
60-64 years old,Female,Total,916576
60-64 years old,Female,never attended school,86255
60-64 years old,Female,Preschool education,3181
60-64 years old,Female,Elementary School,515907
60-64 years old,Female,Junior high school,253551
60-64 years old,Female,High School,50229
60-64 years old,Female,College (Associate's Degree),4987
60-64 years old,Female,University undergraduate,2154
60-64 years old,Female,Master's,229
60-64 years old,Female,Doctorate,83
65-69 years old,Female,Total,764138
65-69 years old,Female,never attended school,107089
65-69 years old,Female,Preschool education,4063
65-69 years old,Female,Elementary School,498011
65-69 years old,Female,Junior high school,135854
65-69 years old,Female,High School,15684
65-69 years old,Female,College (Associate's Degree),2350
65-69 years old,Female,University undergraduate,975
65-69 years old,Female,Master's,85
65-69 years old,Female,Doctorate,27
70-74 years old,Female,Total,323241
70-74 years old,Female,never attended school,60259
70-74 years old,Female,Preschool education,2406
70-74 years old,Female,Elementary School,217768
70-74 years old,Female,Junior high school,38080
70-74 years old,Female,High School,3705
70-74 years old,Female,College (Associate's Degree),708
70-74 years old,Female,University undergraduate,290
70-74 years old,Female,Master's,24
70-74 years old,Female,Doctorate,1
75 years and above,Female,Total,168072
75 years and above,Female,never attended school,45279
75 years and above,Female,Preschool education,1837
75 years and above,Female,Elementary School,103773
75 years and above,Female,Junior high school,14313
75 years and above,Female,High School,2032
75 years and above,Female,College (Associate's Degree),528
75 years and above,Female,University undergraduate,292
75 years and above,Female,Master's,14
75 years and above,Female,Doctorate,4
